Node,TimeSlot,q (PCU/hr),Average_Velocity,k (PCU/km)
A,Evening,554.64,5.877704192119716,94.36337417994089
A,MidMorning,425.48,10.74552902563111,39.59600304322947
A,Morning,219.2,12.166856367198852,18.016157451398097
B,Evening,275.36,10.223769682919746,26.933314084728245
B,MidMorning,234.64,4.895118762932217,47.933464204543355
B,Morning,529.2,,
C,Evening,446.68,16.342401342492515,27.33258048427497
C,MidMorning,708.3199999999999,5.945848849498836,119.12849080576657
C,Morning,612.52,19.62996744124145,31.20331207035678
